locationID,city,State
1,Atlanta,Georgia
2,Boston,Massachusetts
3,Brooklyn,New York
4,Charlotte,North Carolina
5,Chicago,Illinois
6,Cleveland,Ohio
7,Dallas,Texas
8,Denver,Colorado
9,Detroit,Michigan
10,San Francisco,California
11,Houston,Texas
12,Indianapolis,Indiana
13,Los Angeles,California
14,Memphis,Tennessee
15,Miami,Florida
16,Milwaukee,Wisconsin
17,Minneapolis,Minnesota
18,New Orleans,Louisiana
19,New York City,New York
20,Oklahoma City,Oklahoma
21,Orlando,Florida
22,Philadelphia,Pennsylvania
23,Phoenix,Arizona
24,Portland,Oregon
25,Sacramento,California
26,San Antonio,Texas
27,Toronto,Ontario
28,Salt Lake City,Utah
29,Washington,D.C.